sid,isb,search,title,dizhi,lng,lat,name,district,fLng,fLat,followerCount,_id,fAddress
VKOXS9RZRD,高科西路2763弄小区,高科西路2763弄小区,[浦东] 高科西路2763弄小区,高科西路2763弄,121.553608,31.190357,高科西路2763弄,浦东,121.5611992,31.19518835,221,6019158f7e3a052fd496ccda,高科西路2763弄（川北公路63弄）
3IT03NLUBD,莲中二村,莲中二村,[浦东] 莲中二村,"莲中路318弄,新陈路25弄",121.558215,31.179906,莲中二村,浦东,121.565077,31.18650838,244,601915907e3a052fd496ccdc,"莲中路318弄, 莲中路356弄, 新陈路25弄"
,,,,,,,万安街230号,浦东,121.618585,31.301559,3,601915937e3a052fd496cce4,万安街230号
,,,,,,,新康大楼,浦东,121.6122319,31.31883126,4,601915937e3a052fd496cce6,加枫路28号
,,,,,,,东靖路2224号,浦东,121.61913770136,31.298457369988,,601915947e3a052fd496cce9,东靖路2224号
,,,,,,,高东金域商业广场,浦东,121.63682878585,31.322971892755,,601915967e3a052fd496ccec,新园路128弄
,,,,,,,高行商业步行街,浦东,121.613927,31.297482,,601915977e3a052fd496ccee,东靖路1900弄
,,,,,,,双桥路237号,浦东,121.602567,31.290175,,601915977e3a052fd496ccf0,双桥路237号
,,,,,,,启帆路400号,浦东,121.593538,31.318534,,601915987e3a052fd496ccf2,启帆路400号
,,,,,,,巨峰路399弄52号,浦东,121.60229,31.287825,,6019159a7e3a052fd496ccf6,巨峰路399弄52号
,,,,,,,园一路102-104号,浦东,121.638375,31.322941,,6019159a7e3a052fd496ccf9,园一路102-104号
,,,,,,,金高路74号,浦东,121.612506,31.302868,,6019159b7e3a052fd496ccfb,金高路74号
,,,,,,,光明路415弄36号,浦东,121.625717,31.337247,,6019159c7e3a052fd496ccfd,光明路415弄36号
,,,,,,,东波路96号,浦东,121.582688,31.290338,,6019159e7e3a052fd496cd04,东波路96号
,,,,,,,施新路773弄,浦东,121.762545,31.153769,,6019187d7e3a052fd496d347,施新路773弄
